datetime,prec
2022-02-28,172.83386155493906
2022-03-31,208.37443312177197
2022-04-30,56.74965058227631
2022-05-31,36.80433970937113
2022-06-30,44.25152637509147
2022-07-31,9.829996946742941
2022-08-31,51.53693004342352
2022-09-30,121.99678511683142
2022-10-31,123.96660940771574
2022-11-30,123.46730469373146
2022-12-31,238.40146081275552
2023-01-31,215.65880303293227
2023-02-28,290.3027902592416
2023-03-31,129.17312740353748
2023-04-30,101.82094639461283
2023-05-31,43.88040755041164
2023-06-30,35.907038484239834
2023-07-31,22.118785326636143
2023-08-31,55.65748613025872
2023-09-30,65.64099601701518
2023-10-31,232.22321107543218
2023-11-30,116.38400055248822
